Date	Open	High	Low	Close	Volume	Dividends	Stock Splits
0	2025-01-22	219.548596	223.873842	219.548596	223.584167	64126500	0.00	0.0
1	2025-01-23	224.493183	226.780662	222.055861	223.414368	60234800	0.00	0.0
2	2025-01-24	224.533128	225.382200	221.166834	222.535324	54697900	0.00	0.0
3	2025-01-27	223.773962	231.895022	223.733997	229.607544	94863400	0.00	0.0
4	2025-01-28	230.596471	239.926210	230.556507	237.998322	75707600	0.00	0.0
5	2025-01-29	233.862872	239.596573	233.752992	239.097122	45486100	0.00	0.0
6	2025-01-30	238.407871	240.525538	236.949483	237.329056	55658300	0.00	0.0
7	2025-01-31	246.918527	246.918527	233.183628	235.740814	101075100	0.00	0.0
8	2025-02-03	229.737419	231.575395	225.452122	227.759583	73063300	0.00	0.0
9	2025-02-04	227.000419	232.873966	226.401072	232.544327	45067300	0.00	0.0
10	2025-02-05	228.279016	232.414468	228.019307	232.214691	39620300	0.00	0.0
11	2025-02-06	231.035979	233.543232	230.176923	232.963867	29925300	0.00	0.0
12	2025-02-07	232.344548	233.743004	227.010401	227.380005	39707200	0.00	0.0
13	2025-02-10	229.570007	230.589996	227.199997	227.649994	33115600	0.25	0.0
14	2025-02-11	228.199997	235.229996	228.130005	232.619995	53718400	0.00	0.0
15	2025-02-12	231.199997	236.960007	230.679993	236.869995	45243300	0.00	0.0
16	2025-02-13	236.910004	242.339996	235.570007	241.529999	53614100	0.00	0.0
17	2025-02-14	241.250000	245.550003	240.990005	244.600006	40896200	0.00	0.0
18	2025-02-18	244.149994	245.179993	241.839996	244.470001	48822500	0.00	0.0
19	2025-02-19	244.660004	246.009995	243.160004	244.869995	32204200	0.00	0.0
20	2025-02-20	244.940002	246.779999	244.289993	245.830002	32316900	0.00	0.0
21	2025-02-21	245.949997	248.690002	245.220001	245.550003	53197400	0.00	0.0
22	2025-02-24	244.929993	248.860001	244.419998	247.100006	51326400	0.00	0.0
23	2025-02-25	248.000000	250.000000	244.910004	247.039993	48013300	0.00	0.0
24	2025-02-26	244.330002	244.979996	239.130005	240.360001	44433600	0.00	0.0
25	2025-02-27	239.410004	242.460007	237.059998	237.300003	41153600	0.00	0.0
26	2025-02-28	236.949997	242.089996	230.199997	241.839996	56833400	0.00	0.0
27	2025-03-03	241.789993	244.029999	236.110001	238.029999	47184000	0.00	0.0
28	2025-03-04	237.710007	240.070007	234.679993	235.929993	53798100	0.00	0.0
29	2025-03-05	235.419998	236.550003	229.229996	235.740005	47227600	0.00	0.0
30	2025-03-06	234.440002	237.860001	233.160004	235.330002	45170400	0.00	0.0
31	2025-03-07	235.110001	241.369995	234.759995	239.070007	46273600	0.00	0.0
32	2025-03-10	235.539993	236.160004	224.220001	227.479996	72071200	0.00	0.0
33	2025-03-11	223.809998	225.839996	217.449997	220.839996	76137400	0.00	0.0
34	2025-03-12	220.139999	221.750000	214.910004	216.979996	62547500	0.00	0.0
35	2025-03-13	215.949997	216.839996	208.419998	209.679993	61368300	0.00	0.0
36	2025-03-14	211.250000	213.949997	209.580002	213.490005	60107600	0.00	0.0
37	2025-03-17	213.309998	215.220001	209.970001	214.000000	48073400	0.00	0.0
38	2025-03-18	214.160004	215.149994	211.490005	212.690002	42432400	0.00	0.0
39	2025-03-19	214.220001	218.759995	213.750000	215.240005	54385400	0.00	0.0
40	2025-03-20	213.990005	217.490005	212.220001	214.100006	48862900	0.00	0.0
41	2025-03-21	211.559998	218.839996	211.279999	218.270004	94127800	0.00	0.0
42	2025-03-24	221.000000	221.479996	218.580002	220.729996	44299500	0.00	0.0
43	2025-03-25	220.770004	224.100006	220.080002	223.750000	34493600	0.00	0.0
44	2025-03-26	223.509995	225.020004	220.470001	221.529999	34466100	0.00	0.0
45	2025-03-27	221.389999	224.990005	220.559998	223.850006	37094800	0.00	0.0
46	2025-03-28	221.669998	223.809998	217.679993	217.899994	39818600	0.00	0.0
47	2025-03-31	217.009995	225.619995	216.229996	222.130005	65299300	0.00	0.0
48	2025-04-01	219.809998	223.679993	218.899994	223.190002	36412700	0.00	0.0
49	2025-04-02	221.320007	225.190002	221.020004	223.889999	35905900	0.00	0.0
